Date,Agent,Customer,Quality,Weave,Composition,Quantity
2022-01-01,Mark,Sarah Johnson,Premium,Satin,100% Cotton,2
2022-01-01,Mark,Emma Brown,Premium,Plain,100% Silk,3
2022-01-01,Mark,Emma Brown,Premium,Plain,100% Silk,1
2022-01-01,Sammy,James Smith,Standard,Plain,100% Cotton,4
2022-01-01,Sammy,James Smith,Premium,Plain,100% Silk,3
2022-01-01,Sammy,James Smith,Standard,Satin,100% Silk,5
2022-01-02,Sammy,James Smith,Standard,Satin,100% Cotton,1
2022-01-02,Mark,Mike Wilson,Premium,Satin,100% Cotton,1
2022-01-02,Sammy,David Lee,Premium,Satin,100% Silk,2
2022-01-02,Sammy,Sarah Johnson,Standard,Satin,100% Silk,3
2022-01-02,Sammy,David Lee,Premium,Satin,100% Cotton,1
2022-01-02,Sammy,David Lee,Standard,Plain,100% Silk,3
2022-01-03,Mark,Sarah Johnson,Standard,Satin,100% Silk,1
2022-01-03,Sammy,Mike Wilson,Premium,Satin,100% Cotton,1
2022-01-03,Mark,Sarah Johnson,Standard,Satin,100% Silk,1
2022-01-03,Sammy,Sarah Johnson,Standard,Plain,100% Cotton,4
2022-01-04,Sammy,Emma Brown,Standard,Plain,100% Silk,1
2022-01-04,Sammy,James Smith,Premium,Satin,100% Cotton,2
2022-01-05,Mark,Sarah Johnson,Standard,Satin,100% Cotton,1
2022-01-05,Sammy,Sarah Johnson,Standard,Satin,100% Cotton,1
2022-01-05,Mark,David Lee,Premium,Satin,100% Silk,1
2022-01-05,Sammy,Mike Wilson,Premium,Satin,100% Cotton,2
2022-01-05,Sammy,David Lee,Premium,Satin,100% Silk,2
2022-01-06,Sammy,David Lee,Premium,Plain,100% Silk,3
2022-01-07,Mark,David Lee,Premium,Plain,100% Silk,2
2022-01-07,Mark,Sarah Johnson,Premium,Satin,100% Cotton,1
2022-01-07,Mark,David Lee,Standard,Satin,100% Cotton,2
2022-01-07,Mark,James Smith,Premium,Plain,100% Cotton,1
2022-01-07,Mark,David Lee,Standard,Plain,100% Cotton,4
2022-01-08,Sammy,Emma Brown,Premium,Satin,100% Cotton,1
2022-01-08,Sammy,Mike Wilson,Standard,Satin,100% Silk,3
2022-01-08,Sammy,Emma Brown,Premium,Plain,100% Cotton,2
2022-01-08,Mark,Mike Wilson,Standard,Plain,100% Cotton,2
2022-01-09,Mark,David Lee,Standard,Satin,100% Cotton,4
2022-01-09,Sammy,Mike Wilson,Premium,Plain,100% Cotton,2
2022-01-09,Mark,Sarah Johnson,Premium,Plain,100% Silk,1
2022-01-10,Sammy,James Smith,Standard,Satin,100% Cotton,4
2022-01-10,Sammy,David Lee,Premium,Plain,100% Cotton,1
2022-01-10,Sammy,Emma Brown,Premium,Satin,100% Silk,1
2022-01-10,Sammy,James Smith,Standard,Satin,100% Cotton,4
2022-01-11,Mark,David Lee,Premium,Satin,100% Cotton,1
2022-01-11,Mark,James Smith,Standard,Plain,100% Silk,5
2022-01-11,Mark,Emma Brown,Premium,Plain,100% Cotton,2
2022-01-11,Sammy,David Lee,Standard,Satin,100% Silk,1
2022-01-12,Mark,Emma Brown,Standard,Plain,100% Cotton,4
2022-01-12,Sammy,Sarah Johnson,Standard,Plain,100% Silk,1
2022-01-12,Mark,Sarah Johnson,Standard,Satin,100% Cotton,2
2022-01-12,Sammy,Emma Brown,Standard,Plain,100% Cotton,1
2022-01-12,Sammy,James Smith,Premium,Plain,100% Cotton,1
2022-01-12,Mark,Mike Wilson,Standard,Satin,100% Cotton,2
2022-01-13,Sammy,James Smith,Standard,Satin,100% Silk,3
2022-01-14,Mark,Mike Wilson,Standard,Plain,100% Silk,5
2022-01-14,Sammy,Sarah Johnson,Standard,Plain,100% Cotton,1
2022-01-14,Mark,Mike Wilson,Standard,Satin,100% Cotton,4
2022-01-15,Mark,Sarah Johnson,Premium,Satin,100% Cotton,2
2022-01-15,Mark,David Lee,Standard,Satin,100% Cotton,3
2022-01-15,Sammy,Sarah Johnson,Standard,Plain,100% Cotton,2
2022-01-15,Mark,Sarah Johnson,Standard,Satin,100% Silk,1
2022-01-15,Mark,David Lee,Standard,Plain,100% Silk,1
2022-01-16,Sammy,Mike Wilson,Premium,Plain,100% Silk,1
2022-01-16,Sammy,Mike Wilson,Standard,Plain,100% Cotton,1
2022-01-16,Sammy,James Smith,Premium,Plain,100% Cotton,2
2022-01-17,Sammy,Emma Brown,Standard,Plain,100% Cotton,3
2022-01-17,Mark,James Smith,Premium,Satin,100% Cotton,1
2022-01-17,Mark,Mike Wilson,Standard,Satin,100% Silk,3
2022-01-17,Mark,Mike Wilson,Premium,Plain,100% Silk,2
2022-01-17,Sammy,David Lee,Premium,Plain,100% Cotton,2
2022-01-17,Mark,James Smith,Premium,Plain,100% Cotton,1
2022-01-18,Mark,Sarah Johnson,Standard,Satin,100% Silk,5
2022-01-18,Mark,Mike Wilson,Premium,Plain,100% Silk,2
2022-01-19,Sammy,Sarah Johnson,Premium,Plain,100% Silk,3
2022-01-19,Sammy,David Lee,Standard,Plain,100% Cotton,2
2022-01-19,Sammy,James Smith,Premium,Plain,100% Silk,1
2022-01-20,Sammy,David Lee,Standard,Satin,100% Silk,1
2022-01-20,Mark,David Lee,Standard,Plain,100% Silk,5
2022-01-20,Mark,Mike Wilson,Premium,Plain,100% Cotton,2
2022-01-21,Mark,Emma Brown,Standard,Satin,100% Cotton,3
2022-01-21,Mark,David Lee,Premium,Plain,100% Silk,1
2022-01-21,Sammy,Emma Brown,Premium,Satin,100% Silk,1
2022-01-21,Mark,Sarah Johnson,Standard,Plain,100% Cotton,3
2022-01-21,Mark,James Smith,Premium,Satin,100% Cotton,2
2022-01-22,Mark,James Smith,Premium,Plain,100% Cotton,1
2022-01-22,Mark,Emma Brown,Premium,Satin,100% Silk,2
2022-01-22,Mark,Emma Brown,Premium,Plain,100% Silk,1
2022-01-22,Sammy,David Lee,Standard,Plain,100% Silk,3
2022-01-22,Mark,Sarah Johnson,Standard,Satin,100% Silk,5
2022-01-23,Mark,Mike Wilson,Standard,Plain,100% Cotton,3
2022-01-23,Sammy,Emma Brown,Premium,Plain,100% Cotton,1
2022-01-23,Mark,Sarah Johnson,Premium,Satin,100% Silk,1
2022-01-23,Sammy,Emma Brown,Premium,Satin,100% Silk,2
2022-01-24,Mark,Emma Brown,Standard,Plain,100% Cotton,2
2022-01-25,Sammy,Mike Wilson,Standard,Plain,100% Silk,5
2022-01-25,Mark,Sarah Johnson,Standard,Satin,100% Cotton,3
2022-01-25,Mark,Emma Brown,Premium,Satin,100% Cotton,2
2022-01-25,Mark,Sarah Johnson,Standard,Satin,100% Cotton,3
2022-01-26,Mark,Emma Brown,Standard,Plain,100% Silk,3
2022-01-26,Sammy,Emma Brown,Standard,Plain,100% Silk,3
2022-01-26,Mark,Sarah Johnson,Standard,Satin,100% Silk,1
2022-01-27,Sammy,Sarah Johnson,Premium,Plain,100% Silk,2
2022-01-27,Sammy,David Lee,Standard,Plain,100% Cotton,3
2022-01-27,Sammy,Sarah Johnson,Premium,Satin,100% Cotton,1
2022-01-28,Sammy,David Lee,Premium,Plain,100% Cotton,2
2022-01-28,Sammy,David Lee,Premium,Plain,100% Cotton,1
2022-01-28,Mark,Mike Wilson,Premium,Plain,100% Cotton,2
2022-01-28,Mark,David Lee,Premium,Plain,100% Silk,1
2022-01-28,Sammy,Sarah Johnson,Premium,Plain,100% Cotton,1
2022-01-29,Sammy,David Lee,Standard,Plain,100% Cotton,3
2022-01-29,Mark,Emma Brown,Standard,Satin,100% Silk,5
2022-01-29,Mark,Sarah Johnson,Standard,Plain,100% Cotton,2
2022-01-29,Sammy,Mike Wilson,Premium,Satin,100% Cotton,1
2022-01-29,Sammy,James Smith,Premium,Satin,100% Cotton,1
2022-01-29,Mark,Emma Brown,Standard,Satin,100% Cotton,3
2022-01-31,Sammy,James Smith,Standard,Satin,100% Cotton,3
2022-02-01,Sammy,Emma Brown,Standard,Plain,100% Cotton,4
2022-02-02,Mark,James Smith,Standard,Satin,100% Cotton,6
2022-02-02,Mark,Mike Wilson,Standard,Satin,100% Cotton,3
2022-02-02,Sammy,David Lee,Standard,Satin,100% Cotton,6
2022-02-03,Sammy,Emma Brown,Standard,Satin,100% Cotton,4
2022-02-03,Sammy,James Smith,Premium,Plain,100% Cotton,2
2022-02-03,Sammy,Emma Brown,Premium,Plain,100% Silk,1
2022-02-04,Sammy,Mike Wilson,Standard,Plain,100% Silk,5
2022-02-04,Mark,James Smith,Standard,Plain,100% Silk,1
2022-02-04,Sammy,David Lee,Standard,Satin,100% Cotton,6
2022-02-04,Sammy,David Lee,Premium,Satin,100% Silk,1
2022-02-05,Mark,David Lee,Standard,Satin,100% Cotton,1
2022-02-05,Mark,Emma Brown,Premium,Satin,100% Cotton,4
2022-02-05,Sammy,David Lee,Premium,Satin,100% Cotton,2
2022-02-06,Sammy,Sarah Johnson,Standard,Satin,100% Silk,5
2022-02-06,Sammy,Emma Brown,Premium,Satin,100% Cotton,3
2022-02-06,Sammy,David Lee,Premium,Satin,100% Silk,1
2022-02-06,Sammy,Sarah Johnson,Premium,Satin,100% Silk,4
2022-02-06,Mark,Emma Brown,Standard,Plain,100% Silk,3
2022-02-07,Sammy,David Lee,Premium,Plain,100% Silk,1
2022-02-07,Mark,Mike Wilson,Standard,Plain,100% Cotton,3
2022-02-08,Sammy,Sarah Johnson,Premium,Satin,100% Cotton,2
2022-02-08,Sammy,Sarah Johnson,Standard,Plain,100% Cotton,6
2022-02-08,Mark,Sarah Johnson,Standard,Satin,100% Silk,3
2022-02-08,Sammy,Sarah Johnson,Premium,Satin,100% Silk,2
2022-02-08,Sammy,Sarah Johnson,Standard,Satin,100% Silk,3
2022-02-08,Mark,Sarah Johnson,Standard,Plain,100% Cotton,6
